"State","Date","Latitude","Longitude","Pollutant","Unit","Mean"
"Ohio","2021-02",41.079159,-81.516235,"Sulfur dioxide","Parts per billion",0.0301339285714286
"Ohio","2021-02",41.093169,-83.423448,"Sulfur dioxide","Parts per billion",0.621838946428571
"Ohio","2021-02",41.096188,-80.658867,"Sulfur dioxide","Parts per billion",2.33216753571429
"Ohio","2021-02",41.446624,-81.662356,"Sulfur dioxide","Parts per billion",0.479340714285714
"Ohio","2021-02",41.471782,-81.656792,"Sulfur dioxide","Parts per billion",0.0188244107142857
"Ohio","2021-02",41.477011,-81.682383,"Sulfur dioxide","Parts per billion",0.323592214285714
"Ohio","2021-02",41.492117,-81.678449,"Sulfur dioxide","Parts per billion",0.623029142857143
"Ohio","2021-02",41.673006,-81.422455,"Sulfur dioxide","Parts per billion",1.886646125
"Ohio","2021-02",41.726811,-81.242156,"Sulfur dioxide","Parts per billion",1.72764669642857
"Ohio","2021-02",41.959695,-80.572808,"Sulfur dioxide","Parts per billion",4.82164044642857
"Ohio","2021-03",38.508075,-82.659241,"Sulfur dioxide","Parts per billion",0.0496202419354839
"Ohio","2021-03",38.588034,-82.834973,"Sulfur dioxide","Parts per billion",1.28002322580645
"Ohio","2021-03",38.609338,-82.822512,"Sulfur dioxide","Parts per billion",1.51680958064516
"Ohio","2021-03",38.89495,-82.14893,"Sulfur dioxide","Parts per billion",1.65842480645161
"Ohio","2021-03",38.94945,-82.1104,"Sulfur dioxide","Parts per billion",1.03338006451613
"Ohio","2021-03",38.95018,-82.12211,"Sulfur dioxide","Parts per billion",1.05731433870968
"Ohio","2021-03",39.12886,-84.50404,"Sulfur dioxide","Parts per billion",0.382421274193548
"Ohio","2021-03",39.21487,-84.69086,"Sulfur dioxide","Parts per billion",0.459372080645161
"Ohio","2021-03",39.46619,-84.40256,"Sulfur dioxide","Parts per billion",1.44703098387097
"Ohio","2021-03",39.472436,-84.394952,"Sulfur dioxide","Parts per billion",0.272116451612903
"Ohio","2021-03",39.479822,-84.409617,"Sulfur dioxide","Parts per billion",0.297780419354839
"Ohio","2021-03",39.58427,-81.67015,"Sulfur dioxide","Parts per billion",1.66238186956522
"Ohio","2021-03",39.63223,-81.67005,"Sulfur dioxide","Parts per billion",0.673532403225806
"Ohio","2021-03",39.83562,-84.720524,"Sulfur dioxide","Parts per billion",0.455473467741935
"Ohio","2021-03",39.9679,-80.7464,"Sulfur dioxide","Parts per billion",0.0471047580645161
"Ohio","2021-03",39.983752,-81.562234,"Sulfur dioxide","Parts per billion",0.787903258064516
"Ohio","2021-03",39.99388,-81.5589,"Sulfur dioxide","Parts per billion",0.903618177419355
"Ohio","2021-03",40.002707,-82.994424,"Sulfur dioxide","Parts per billion",0.791324080645161
"Ohio","2021-03",40.3663,-80.6158,"Sulfur dioxide","Parts per billion",3.98960887096774
"Ohio","2021-03",40.631545,-80.547181,"Sulfur dioxide","Parts per billion",0.0761893225806452
"Ohio","2021-03",40.770944,-84.0539,"Sulfur dioxide","Parts per billion",0.0870567258064516
"Ohio","2021-03",41.063526,-81.468956,"Sulfur dioxide","Parts per billion",0.213513661290323
"Ohio","2021-03",41.079159,-81.516235,"Sulfur dioxide","Parts per billion",0.0911962258064516
"Ohio","2021-03",41.093169,-83.423448,"Sulfur dioxide","Parts per billion",0.421589048387097
"Ohio","2021-03",41.096188,-80.658867,"Sulfur dioxide","Parts per billion",1.86865045
